Month,Handle,Revenue,Hold,Taxes
January 2023,11397539059,1063520615,0.0923,207869960
February 2023,8936334954,711577691,0.0796,142254175
March 2023,11161023798,1084539027,0.1044,212820135
April 2023,9089550378,889403898,0.0954,177177222
May 2023,8065801469,933063363,0.1136,189005503
June 2023,6564434890,562126936,0.0762,118477396
July 2023,5847088831,630041669,0.1099,128259933
August 2023,6602411640,610598065,0.0924,121345936
September 2023,11465619025,1092023506,0.1009,207830740
October 2023,12739182887,1240521013,0.1136,233078106
November 2023,14386229179,929753336,0.0700,176589297
December 2023,13890952410,1374389865,0.1093,264072488
Total,120146168520,11121558985,0.0965,2178780890
