Month,Handle,Revenue,Hold,Taxes
January 2020,1217723599,115218248,0.0913,20855519
February 2020,1160708155,50401409,0.0490,7898433
March 2020,441599811,38241862,0.1226,6839334
April 2020,132848184,11947576,0.1511,2237133
May 2020,274337726,22840959,0.1200,3866577
June 2020,355248414,31015412,0.0908,5491186
July 2020,888022857,76719623,0.1023,10929647
August 2020,2165047564,136370304,0.0765,18882092
September 2020,2831793440,154201147,0.0736,18458171
October 2020,3230980105,303881645,0.1169,42209171
November 2020,3433537058,321540134,0.1148,45956286
December 2020,3738643231,279410707,0.0980,40795910
Total,19870490143,1541789027,0.1006,224419460
