"","Year","State","Handle","Revenue","Hold","Taxes"
"125",2021,"Indiana",3829411987,308304353,8.15,29089084
"126",2021,"Iowa",2053708513,125512412,6.45,8472088
"127",2021,"Kansas",NA,NA,NA,NA
"128",2021,"Kentucky",NA,NA,NA,NA
"129",2021,"Louisiana",67388583,6710940,10.5,1006641
"130",2021,"Maine",NA,NA,NA,NA
"131",2021,"Maryland",16552430,3170001,19.2,469297
"132",2021,"Massachusetts",NA,NA,NA,NA
"133",2021,"Michigan",3965906303,319522216,8.33,26839866
"134",2021,"Mississippi",586086026,65868087,10.95,7245490
"135",2021,"Missouri",NA,NA,NA,NA
"136",2021,"Montana",47215732,6406223,13.81,544529
"137",2021,"Nebraska",NA,NA,NA,NA
"138",2021,"Nevada",8143085452,445145000,5.66,30047288
"139",2021,"New Hampshire",703899047,43827560,6.47,19999601
"140",2021,"New Jersey",10935903540,814981641,7.56,116134884
"141",2021,"New Mexico",NA,NA,NA,NA
"142",2021,"New York",NA,NA,NA,NA
"143",2021,"North Carolina",NA,NA,NA,NA
"144",2021,"North Dakota",NA,NA,NA,NA
"145",2021,"Ohio",NA,NA,NA,NA
"146",2021,"Oregon",NA,NA,NA,NA
"147",2021,"Pennsylvania",6552109118,505523748,7.84,122438695
"148",2021,"Rhode Island",454457989,38751495,8.95,19763262
"149",2021,"South Dakota",2651489,254582,10.02,22912
"150",2021,"Tennessee",2730459000,196500000,7.56,39300000
"151",2021,"Vermont",NA,NA,NA,NA
"152",2021,"Virginia",3221791416,135600220,4.22,20340033
"153",2021,"Washington",NA,NA,NA,NA
"154",2021,"Washington D.C.",203294161,26874974,13.56,6314732
"155",2021,"West Virginia",544509147,45463827,8.77,3864425
"156",2021,"Wyoming",40348146,4012816,10.62,111914
"157",2022,"Arizona",6036844930,289146940,4.85,28914694
"158",2022,"Arkansas",NA,88448329,NA,11498283
"159",2022,"Colorado",5181758903,351950255,6.8,19634715
"160",2022,"Connecticut",1519890754,95217811,6.29,13235612
"161",2022,"Delaware",82472393,8884122,17.94,6548945
"162",2022,"Florida",NA,NA,NA,NA
"163",2022,"Illinois",9751301251,1215977220,12.37,128699018
"164",2022,"Indiana",4467882215,386888311,8.82,36797945
"165",2022,"Iowa",2348065964,165551990,7.49,11174759
"166",2022,"Kansas",718777570,76505901,10.75,2092630
"167",2022,"Kentucky",NA,NA,NA,NA
"168",2022,"Louisiana",2302509284,228038413,9.64,34205762
"169",2022,"Maine",NA,NA,NA,NA
"170",2022,"Maryland",979584836,149480586,13.05,6100504
"171",2022,"Massachusetts",NA,NA,NA,NA
"172",2022,"Michigan",4814088969,418647137,8.83,35166360
"173",2022,"Mississippi",531951766,60816325,11.61,6689796
"174",2022,"Missouri",NA,NA,NA,NA
"175",2022,"Montana",50918515,7173449,13.92,609743
"176",2022,"Nebraska",NA,NA,NA,NA
"177",2022,"Nevada",8778559722,449698000,5.03,30354615
