State,Handle,Revenue,Hold,Taxes
Arizona,6573800272,348185390,0.0547,34818539
Arkansas,,103188842,,13414549
Colorado,5560232285,391946267,0.0715,27423432
Connecticut,1763017692,131142055,0.0754,18032034
Delaware,65326809,10003849,0.1314,7450356
Florida,,,,
Illinois,11620474009,1535383261,0.1337,162149629
Indiana,4337817508,404363766,0.0950,38417065
Iowa,2423988443,198810523,0.0831,13419710
Kansas,2121564412,182415461,0.0883,10036471
Kentucky,885464502,109824864,0.1092,12776632
Louisiana,2905138040,289778947,0.0986,43466842
Maine,82091923,9020360,0.1109,902036
Maryland,4617323134,514081188,0.1119,46165906
Massachusetts,4967511977,483666398,0.0847,93875096
Michigan,4810903877,434438031,0.0923,36492795
Mississippi,474275130,51224141,0.1118,5634656
Missouri,,,,
Montana,62258820,8446611,0.1366,717962
Nebraska,,1779458,,355892
Nevada,8261046989,481393000,0.0566,32494028
New Hampshire,821707403,80288654,0.0996,35572290
New Jersey,11972320289,1006681602,0.0887,143452128
New Mexico,,,,
New York,19196867477,1689883800,0.0894,861840738
North Carolina,,,,
North Dakota,,,,
Ohio,7660346389,935585152,0.1181,187117030
Oregon,213069000,21429000,0.1004,1714320
Pennsylvania,7682694849,686915514,0.0917,165133458
Rhode Island,461283426,40277816,0.0873,20541686
South Dakota,9034691,1028440,0.0990,92560
Tennessee,4292352235,417787565,0.0982,83557513
Vermont,,,,
Virginia,5590022862,481978027,0.0869,72296704
Washington,,,,
Washington D.C.,169771690,19048327,0.1160,5428128
West Virginia,372215086,34268729,0.0946,2928026
Wyoming,172247302,17293948,0.1017,1062680
Total,120146168520,11121558985,0.0965,2178780890
