Month,Handle,Revenue,Hold,Taxes
June 2018,23413344,3458668,0.2108,492860
July 2018,48897002,3845879,0.0945,548038
August 2018,111348453,9842884,0.0900,1381647
September 2018,238976639,29279605,0.1512,3993470
October 2018,314780062,12864460,0.0404,1794889
November 2018,401551837,23500111,0.1421,3431886
December 2018,413616224,29953952,0.1026,4856460
Total,1552583561,112745560,0.0693,16499251
