Month,Handle,Revenue,Hold,Taxes
January 2021,4319420781,391755116,0.0928,52341995
February 2021,3965656176,248697807,0.0592,29994917
March 2021,4581115128,354447174,0.0870,46819433
April 2021,3660811415,305067156,0.0940,41491710
May 2021,3673926570,289980789,0.0871,40300065
June 2021,3636261033,356072469,0.0979,49875579
July 2021,2770959108,281680228,0.1063,37634449
August 2021,3039091024,213278348,0.0757,29703098
September 2021,5436050101,403146141,0.0974,50634766
October 2021,7427353798,420296750,0.0647,52397690
November 2021,7205792156,689105012,0.1104,93435754
December 2021,7114531052,338159821,0.0605,40333540
Total,56830968342,4291686810,0.0861,564962995
