State,Handle,Revenue,Hold,Taxes
Arizona,1743249640,59552840,0.0312,5955284
Arkansas,,78763591,,10239267
Colorado,3847527102,250048945,0.0666,11701499
Connecticut,,,,
Delaware,119650457,,,
Florida,,,,
Illinois,7021763064,810891340,0.1177,85062204
Indiana,3829411987,308304353,0.0815,29089084
Iowa,2053708513,125512412,0.0645,8472088
Kansas,,,,
Kentucky,,,,
Louisiana,67388583,6710940,0.1050,1006641
Maine,,,,
Maryland,16552430,3170001,0.1920,469297
Massachusetts,,,,
Michigan,3965906303,319522216,0.0833,26839866
Mississippi,586086026,65868087,0.1095,7245490
Missouri,,,,
Montana,47215732,6406223,0.1381,544529
Nebraska,,,,
Nevada,8143085452,445145000,0.0566,30047288
New Hampshire,703899047,43827560,0.0647,19999601
New Jersey,10935903540,814981641,0.0756,116134884
New Mexico,,,,
New York,,,,
North Carolina,,,,
North Dakota,,,,
Ohio,,,,
Oregon,,,,
Pennsylvania,6552109118,505523748,0.0784,122438695
Rhode Island,454457989,38751495,0.0895,19763262
South Dakota,2651489,254582,0.1002,22912
Tennessee,2730459000,196500000,0.0756,39300000
Vermont,,,,
Virginia,3221791416,135600220,0.0422,20340033
Washington,,,,
Washington D.C.,203294161,26874974,0.1356,6314732
West Virginia,544509147,45463827,0.0877,3864425
Wyoming,40348146,4012816,0.1062,111914
Total,56830968342,4291686810,0.0861,564962995
