State,Handle,Revenue,Hold,Taxes
Arizona,,,,
Arkansas,,,,
Colorado,,,,
Connecticut,,,,
Delaware,115351865,,,
Florida,,,,
Illinois,,,,
Indiana,,,,
Iowa,,,,
Kansas,,,,
Kentucky,,,,
Louisiana,,,,
Maine,,,,
Maryland,,,,
Massachusetts,,,,
Michigan,,,,
Mississippi,158565586,15175668,0.0957,1669323
Missouri,,,,
Montana,,,,
Nebraska,,,,
Nevada,,,,
New Hampshire,,,,
New Jersey,1247307720,94022393,0.1007,13398191
New Mexico,,,,
New York,,,,
North Carolina,,,,
North Dakota,,,,
Ohio,,,,
Oregon,,,,
Pennsylvania,17587677,2516589,0.2420,905972
Rhode Island,13770713,1030910,0.0901,525764
South Dakota,,,,
Tennessee,,,,
Vermont,,,,
Virginia,,,,
Washington,,,,
Washington D.C.,,,,
West Virginia,,,,
Wyoming,,,,
Total,1552583561,112745560,0.1188,16499251
