"","State","total_pop","median_income","pct_bachelors","pct_age_20_34","pct_urban","pct_rural","pct_poverty","pct_male","unemployment_rate","pct_white","pct_black","pct_asian","pct_hispanic","median_age","pct_broadband","gini","pct_rent","pct_own"
"1","Alabama",5157699,66659,0.298535816190738,0.0643100731547149,0.577372395123758,0.422627604876242,0.15188038925647,0.48288025338431,0.0423146606750753,0.640116648916503,0.252458896884056,0.01543110600289,0.0595160749008424,39.6,0.916441048628618,0.4745,0.290482576590364,0.709517423409636
"2","Alaska",740133,95665,0.327545970871057,0.0682282778905953,0.64899487449396,0.35100512550604,0.10166801027235,0.527339005286888,0.0596108427341639,0.587083672799348,0.0250603607729962,0.059552810103049,0.0773225893184063,36.3,0.935970369829772,0.4395,0.334809976463719,0.665190023536281
"3","Arizona",7582384,81486,0.347343034863304,0.068588982040477,0.892851599566077,0.107148400433923,0.116805302577693,0.498904170508906,0.0456375480168219,0.573127528228589,0.0475929470203567,0.0399262290066027,0.321226279228274,39.4,0.935561236892179,0.4623,0.322434555193254,0.677565444806746
"4","Arkansas",3088354,62106,0.271173171580096,0.066478454218655,0.55476131022034,0.44523868977966,0.155357438445237,0.491370484083107,0.0381775938629896,0.681898512929541,0.141759979587832,0.0178684179339545,0.095413608673099,39.1,0.907600857907815,0.4721,0.328899686706439,0.671100313293561
"5","California",39431263,100149,0.381236490118369,0.0652503826722466,0.942366327389069,0.0576336726109315,0.118025734550144,0.498972173424929,0.0593359926169362,0.3807584098942,0.053529124846952,0.161028927731785,0.407524709517927,38.4,0.950047102264895,0.4852,0.441797501862275,0.558202498137725
"6","Colorado",5957494,97113,0.477663769613138,0.0659814344756369,0.860267065531822,0.139732934468178,0.0960116686990542,0.506373820938804,0.0427703181572605,0.693598852134807,0.0425123382415492,0.0348344454899997,0.232135861152357,38,0.948951809191691,0.4611,0.340557975911854,0.659442024088146
"7","Connecticut",3675069,96049,0.425653613894953,0.065323943577658,0.862507293513155,0.137492706486845,0.10195636795853,0.491118942256594,0.0494828897452325,0.636979877112511,0.107578388324138,0.0480355606928741,0.192324552273712,41.2,0.940339532790237,0.4989,0.333278817510574,0.666721182489426
"8","Delaware",1051917,87534,0.359915683577716,0.0606198017524196,0.826121170000849,0.173878829999151,0.0959371769337251,0.481751887268672,0.0510671898392028,0.581658058573062,0.22039286369552,0.0483108458176833,0.116751606828295,42.1,0.942886801971361,0.4478,0.262221564670728,0.737778435329272
"9","District of Columbia",702250,109707,0.654649641384042,0.0729740121039516,1,0,0.173116858038354,0.472854396582414,0.0563223800074715,0.375645425418298,0.413152011391954,0.0495493058027768,0.125923816304735,34.9,0.924695241243968,0.5244,0.591018147515674,0.408981852484326
"10","Florida",23372215,77735,0.358363799126367,0.0582353020456127,0.915341945912161,0.0846580540878394,0.12047232107226,0.49154938887906,0.0455546348743696,0.541823314563896,0.147691821250147,0.0309179938657932,0.286925650820857,42.7,0.942574090634375,0.4799,0.319586837204342,0.680413162795658
"11","Georgia",11180878,79991,0.36310282371374,0.0673810232076587,0.740669729426354,0.259330270573646,0.125871604334917,0.48668682370025,0.0469365800577711,0.498313102065866,0.306046984861117,0.048964222666592,0.116198387997794,38,0.934356173289373,0.473,0.336984911621965,0.663015088378035
"12","Hawaii",1446146,100745,0.377574922394315,0.0586904780015296,0.860630081957244,0.139369918042756,0.0998640023030267,0.500587769146407,0.0337726709473921,0.219451562981884,0.0176240849817377,0.36260861628079,0.102269065502377,41.5,0.930420905564421,0.4542,0.383503227206272,0.616496772793728
"13","Idaho",2001619,81166,0.330265604418728,0.0708041840130414,0.692421752742909,0.307578247257091,0.104606960858168,0.503209152191301,0.0372975345088965,0.808936166173483,0.00776721244152858,0.0150737977607127,0.142976760312527,37.8,0.927942799405203,0.4345,0.283171432717281,0.716828567282719
"14","Illinois",12710158,83211,0.39230752019787,0.0661996491310336,0.869274774306482,0.130725225693518,0.115789212711916,0.494113369794459,0.0512746077700505,0.601896294286822,0.132154218696573,0.063933430253188,0.193763759663727,39.4,0.929343321095426,0.4802,0.324258909306294,0.675741090693706
"15","Indiana",6924275,71959,0.306562608644246,0.0676090998696614,0.711762739760266,0.288237260239734,0.122276666904688,0.495613475779053,0.0409635697931226,0.76012607818147,0.0911964068440378,0.0270886121651725,0.0904955392441808,38.3,0.919894063957211,0.4523,0.292812424679452,0.707187575320548
"16","Iowa",3241488,75501,0.320507814816268,0.0698966030415661,0.631535411734505,0.368464588265495,0.1133853317804,0.50059910757035,0.0318190466662002,0.831726046803197,0.0415142675215827,0.0258859511434255,0.0781196783699338,39,0.90708801850796,0.4357,0.286737153329334,0.713262846670666
"17","Kansas",2970606,75514,0.360485368959945,0.0710696739991773,0.722990387626452,0.277009612373548,0.108541075711762,0.500649699084968,0.0367143281734702,0.750498719789834,0.0534268092099726,0.0302712645163983,0.142315069719781,38,0.92532386119262,0.4557,0.318936642604374,0.681063357395626
"18","Kentucky",4588372,64526,0.279440857016082,0.065581430625067,0.586984524070561,0.413015475929439,0.155558827312628,0.495737268033193,0.0487060689936655,0.814273123452065,0.0711213040267877,0.0187781199955017,0.0550609235694054,39.3,0.908686669640024,0.4711,0.318802480465902,0.681197519534098
"19","Louisiana",4597740,60986,0.278364769703002,0.0644738501959658,0.715416669439818,0.284583330560182,0.186877934555907,0.487755288467812,0.0515152392414085,0.564213722394046,0.304112672747915,0.0182330884304028,0.0777834327299934,38.7,0.904598518630693,0.4922,0.319295930425941,0.680704069574059
