"","State","Revenue","Handle","Taxes","Hold","total_pop","median_income","pct_bachelors","pct_age_20_34","pct_urban","pct_rural","pct_poverty","pct_male","unemployment_rate","pct_white","pct_black","pct_asian","pct_hispanic","median_age","pct_broadband","gini","pct_rent","pct_own"
"1","Arizona",427397087,7959647194,42739709,5.53,7582384,81486,0.347343034863304,0.068588982040477,0.892851599566077,0.107148400433923,0.116805302577693,0.498904170508906,0.0456375480168219,0.573127528228589,0.0475929470203567,0.0399262290066027,0.321226279228274,39.4,0.935561236892179,0.4623,0.322434555193254,0.677565444806746
"2","Colorado",475176731,6187564044,31934112,7.87,5957494,97113,0.477663769613138,0.0659814344756369,0.860267065531822,0.139732934468178,0.0960116686990542,0.506373820938804,0.0427703181572605,0.693598852134807,0.0425123382415492,0.0348344454899997,0.232135861152357,38,0.948951809191691,0.4611,0.340557975911854,0.659442024088146
"3","Connecticut",187349516,2188745557,25760559,8.67,3675069,96049,0.425653613894953,0.065323943577658,0.862507293513155,0.137492706486845,0.10195636795853,0.491118942256594,0.0494828897452325,0.636979877112511,0.107578388324138,0.0480355606928741,0.192324552273712,41.2,0.940339532790237,0.4989,0.333278817510574,0.666721182489426
"4","Delaware",14585100,216240459,8474813,6.99,1051917,87534,0.359915683577716,0.0606198017524196,0.826121170000849,0.173878829999151,0.095937176933725,0.481751887268672,0.0510671898392028,0.581658058573062,0.22039286369552,0.0483108458176833,0.116751606828295,42.1,0.942886801971361,0.4478,0.262221564670728,0.737778435329272
"5","Illinois",1866642282,14016684933,280390692,13.52,12710158,83211,0.39230752019787,0.0661996491310336,0.869274774306482,0.130725225693518,0.115789212711916,0.494113369794459,0.0512746077700505,0.601896294286822,0.132154218696573,0.063933430253188,0.193763759663727,39.4,0.929343321095426,0.4802,0.324258909306294,0.675741090693706
"6","Indiana",484278308,5212332663,46245605,9.48,6924275,71959,0.306562608644246,0.0676090998696614,0.711762739760266,0.288237260239734,0.122276666904688,0.495613475779053,0.0409635697931226,0.76012607818147,0.0911964068440378,0.0270886121651725,0.0904955392441808,38.3,0.91989406395721,0.4523,0.292812424679452,0.707187575320548
"7","Iowa",218482781,2770339580,14747588,8.07,3241488,75501,0.320507814816268,0.0698966030415661,0.631535411734505,0.368464588265495,0.1133853317804,0.50059910757035,0.0318190466662002,0.831726046803197,0.0415142675215827,0.0258859511434255,0.0781196783699338,39,0.90708801850796,0.4357,0.286737153329334,0.713262846670666
"8","Kansas",145263244,2503492581,13873150,5.96,2970606,75514,0.360485368959945,0.0710696739991773,0.722990387626452,0.277009612373548,0.108541075711762,0.500649699084968,0.0367143281734702,0.750498719789834,0.0534268092099726,0.0302712645163983,0.142315069719781,38,0.92532386119262,0.4557,0.318936642604374,0.681063357395626
"9","Kentucky",272086697,2626962943,38621515,10.43,4588372,64526,0.279440857016082,0.065581430625067,0.586984524070561,0.413015475929439,0.155558827312628,0.495737268033193,0.0487060689936655,0.814273123452065,0.0711213040267877,0.0187781199955017,0.0550609235694054,39.3,0.908686669640024,0.4711,0.318802480465902,0.681197519534098
"10","Louisiana",461224426,3699647883,66014538,12.35,4597740,60986,0.278364769703002,0.0644738501959658,0.715416669439818,0.284583330560182,0.186877934555907,0.487755288467812,0.0515152392414085,0.564213722394046,0.304112672747915,0.0182330884304028,0.0777834327299934,38.7,0.904598518630693,0.4922,0.319295930425941,0.680704069574059
"11","Maine",55388488,523013468,5538849,10.68,1405012,76442,0.371109589210721,0.0540329904655619,0.386321813853764,0.613678186146236,0.105985866398573,0.493012159326753,0.0272315581897051,0.896816539645213,0.020814768841832,0.0133763982086986,0.023394106242509,44.9,0.923679569595358,0.4566,0.266800490869343,0.733199509130657
"12","Maryland",629812059,5940586770,82294051,10.81,6263220,102905,0.446892888911905,0.060154521156849,0.856170992018421,0.143829007981579,0.0906489530116878,0.485076685794208,0.0434563758389262,0.468993584769496,0.291403144069664,0.0693580937600787,0.132671054186185,39.8,0.944199910551954,0.4559,0.321990893622621,0.678009106377379
"13","Massachusetts",670694019,7401117705,130196306,8.91,7136171,104828,0.482736480907278,0.0693691336712643,0.912798116962121,0.0872018830378794,0.0971882451125829,0.487816085124642,0.040706371215408,0.667182582928576,0.0685928069829044,0.0772934112705539,0.139962313122822,40.1,0.943799994628603,0.482,0.376167395339041,0.623832604660959
"14","Michigan",481495654,5511011493,40445635,9.17,10140459,72389,0.33326044704964,0.0663020283401373,0.734743951548282,0.265256048451718,0.134452654924705,0.49460699954509,0.0449970102337107,0.730438533403665,0.130167381969593,0.0374693098211826,0.0613217804046148,40.4,0.928084291530884,0.4679,0.265409929753023,0.734590070246977
"15","Mississippi",43344188,452409770,4767861,9.92,2943045,59127,0.270174662054182,0.067271482427214,0.462904711106248,0.537095288893752,0.178123267774823,0.482935191272984,0.046047512310694,0.555636763963854,0.358802192966808,0.0123141168415706,0.0402742737538842,39.3,0.883347355718159,0.4766,0.294901800814148,0.705098199185852
"16","Montana",7186894,66469999,610886,11.46,1137233,75340,0.363352240562663,0.0649084224604808,0.534185247527035,0.465814752472965,0.102255698611753,0.506006244982339,0.0296261358777901,0.846271608368734,0.0030908353872953,0.00827007306330365,0.0488079399736026,41.3,0.914928323322267,0.4581,0.31397434011186,0.68602565988814
"17","Nevada",482121000,7897081590,32543168,6.15,3267467,81134,0.28528910629048,0.0580259877146426,0.940923090599991,0.0590769094000091,0.115781050728675,0.504157807867685,0.0628302798451012,0.48017960089574,0.0951489334092739,0.0945120486297184,0.305872102151299,39.5,0.951109227757935,0.4653,0.398798151623383,0.601201848376617
